Module                  Size  Used by
if_cb_manager          20480  2 pdic_max77705,dwc3_exynos_usb
usb_typec_manager      36864  8 isg6320,pdic_max77705,sec_battery,usb_notifier,sec_common_fn,exynos_drm,dwc3_exynos_usb,usb_f_ss_mon_gadget
abc                    65536  15 rainbow_prince,sec_direct_charger,input_cs40l26_i2c,sec_vibrator_inputff_module,abc_hub,mcd_panel_s6e3fac_rainbow_r0,pdic_max77705,sec_battery,sec_reboot,npu,fimc_is,ufs_exynos_core,mcd_panel,sgpu,usb_typec_manager
vbus_notifier          16384  6 stm_ts_spi,pdic_max77705,sec_battery,usb_notifier,sec_common_fn,usb_typec_manager
pdic_notifier_module    45056  2 pdic_max77705,usb_typec_manager
debug_snapshot_debug_kinfo    16384  0 
qmi_helpers            28672  3 cnss2,wlan_firmware_service,cnss_plat_ipc_qmi_svc
qrtr                   36864  13 qrtr_mhi
ns                     32768  1 qrtr
samsung_dma            20480  2 snd_soc_dp_dma,spi_s3c64xx
pl330                  49152  1 samsung_dma
clk_exynos_audss       20480  0 
fb                     98304  2 exynos_drm,mcd_panel
pcie_exynos_rc        110592  2 fimc_is,cnss2
pcie_exynos_dbg        20480  1 pcie_exynos_rc
pcie_exynosS5E9925_rc_cal    49152  1 pcie_exynos_rc
exynos_pcie_iommu      32768  1 pcie_exynos_rc,[permanent]
exynos_itmon           49152  13 nanohub,scaler,exynos_mfc,fimc_is,exynos_drm,exynos_cm,exynos_bcm,gnssif,cpif,exynos_pd,snd_soc_samsung_vts,snd_soc_samsung_abox,pcie_exynos_rc
pwm_samsung            24576  0 
pinctrl_samsung_s2mpm07    24576  0 
s2mpm07_mfd            16384  2 s2mpm07_regulator,pinctrl_samsung_s2mpm07
pinctrl_samsung_s2mps26    24576  4 
s2mps26_mfd            24576  3 s2mps26_regulator,s2mps25_mfd,pinctrl_samsung_s2mps26
pmic_class             20480  6 s2mpm07_regulator,s2mpb03,s2mpb02_regulator,s2mps26_regulator,s2mps25_regulator,s2mps26_mfd,[permanent]
phy_exynos_usbdrd_super    86016  7 usb_notifier,xhci_exynos,exynos_pd,dwc3_exynos_usb
usb_repeater_module    16384  2 repeater_tusb2e11_module,phy_exynos_usbdrd_super
phy_exynos_mipi        36864  5 
phy_exynos_mipi_dsim    16384  1 
mhi                   131072  2 qrtr_mhi,cnss2
irq_gic_v3_vh          20480  0 [permanent]
ssg                    32768  0 
blk_sec_stats          20480  1 ssg
lzo_rle                16384  0 
lzo                    16384  0 
zsmalloc               36864  1 zram
sec_mpam               16384  0 
sec_mpam_sysfs         20480  1 sec_mpam
exynos_cpupm           36864  18 btpower,xhci_exynos,spi_s3c64xx,ufs_exynos_core,exynos_drm,i2c_exynos5,exynos_tty,exynos_ssp,exynos_bcm,exynos_ufcc,exynos_dm,ehld,exynos_adv_tracer_s2d,exynos_pd,dwc3_exynos_usb,pcie_exynos_rc,pwm_samsung,sec_mpam_sysfs
pinctrl_samsung_core    57344  125 exynos_pm,exynos_cpupm
